Column1,Column2,Column3,Column4
4.687892279945e11,1.2188519927857e12,4.3128608975494006e11,3.750313823956e12
5.275264984699999e10,1.3715688960220001e11,4.853243785924e10,4.2202119877599994e11
6.2378703989375e11,1.62184630372375e12,5.7388407670225e11,4.99029631915e12
3.8242399871287506e11,9.943023966534749e11,3.51830078815845e11,3.0593919897030005e12
1.54788424375e9,4.02449903375e9,1.42405350425e9,1.238307395e10
7.2285209511675e11,1.8794154473035498e12,6.6502392750741e11,5.782816760934e12
5.253643554525e10,1.3659473241765001e11,4.833352070163e10,4.20291484362e11
4.00974365461875e11,1.042533350200875e12,3.6889641622492505e11,3.207794923695e12
1.52277774822375e11,3.9592221453817505e11,1.40095552836585e11,1.218222198579e12
1.6399716028425e11,4.2639261673905e11,1.5087738746150998e11,1.311977282274e12
5.6437803435e9,1.4673828893099998e10,5.19227791602e9,4.5150242748e10
2.447792819113e12,6.364261329693801e12,2.25196939358396e12,1.9582342552904e13
5.096243515e9,1.3250233139e10,4.688544033799999e9,4.076994812e10
1.6703050574175e11,4.3427931492855e11,1.5366806528241e11,1.336244045934e12
1.9805171352862497e11,5.1493445517442505e11,1.82207576446335e11,1.5844137082289998e12
5.582333989625e9,1.4514068373025e10,5.135747270455001e9,4.4658671917e10
1.585062074665e11,4.121161394129e11,1.4582571086918e11,1.268049659732e12
1.203059637e9,3.1279550562e9,1.10681486604e9,9.624477096e9
1.6838905766e11,4.3781154991600006e11,1.549179330472e11,1.34711246128e12
6.827803686549999e10,1.7752289585030002e11,6.2815793916259995e10,5.4622429492399994e11
3.4040911095625e10,8.8506368848625e10,3.1317638207974995e10,2.72327288765e11
3.491242668336e12,9.0772309376736e12,3.21194325486912e12,2.7929941346688e13
7.015822625249999e9,1.824113882565e10,6.4545568152300005e9,5.612658100199999e10
1.2700309347375e11,3.3020804303175e11,1.1684284599585e11,1.01602474779e12
2.6775263727625e11,6.9615685691825e11,2.4633242629415002e11,2.14202109821e12
2.372684729785e11,6.168980297441e11,2.1828699514022e11,1.898147783828e12
3.5839704295462506e11,9.31832311682025e11,3.29725279518255e11,2.8671763436370005e12
6.2159129388125e11,1.61613736409125e12,5.7186399037075e11,4.97273035105e12
7.63342339375e10,1.984690082375e11,7.022749522250002e10,6.106738715e11
2.07027694723125e11,5.38272006280125e11,1.90465479145275e11,1.656221557785e12
2.94104142072e11,7.646707693872001e11,2.7057581070624e11,2.352833136576e12
2.3467022894494875e13,6.101425952568667e13,2.1589661062935285e13,1.87736183155959e14
7.377059603e11,1.91803549678e12,6.78689483476e11,5.9016476824e12
7.21653901605e10,1.8763001441730002e11,6.639215894766e10,5.77323121284e11
8.0362764013e10,2.089431864338e11,7.393374289196e10,6.42902112104e11
7.6373339855e10,1.9857068362300003e11,7.02634726666e10,6.1098671884e11
1.9320770064475e11,5.0234002167635e11,1.7775108459317e11,1.545661605158e12
2.0498407884e10,5.32958604984e10,1.885853525328e10,1.63987263072e11
1.8848919314775e11,4.9007190218415e11,1.7341005769593e11,1.507913545182e12
9.98992975805e10,2.5973817370930002e11,9.190735377406e10,7.99194380644e11
1.3402831344375e10,3.4847361495375e10,1.2330604836824999e10,1.07222650755e11
1.271944773e9,3.3070564097999997e9,1.17018919116e9,1.0175558184e10
1.64174304009625e11,4.2685319042502496e11,1.51040359688855e11,1.313394432077e12
2.495366980725e11,6.487954149885e11,2.295737622267e11,1.99629358458e12
1.452040792188e12,3.7753060596888003e12,1.33587752881296e12,1.1616326337504e13
9.824358576675e10,2.5543332299355e11,9.038409890541e10,7.85948686134e11
2.275944701275e10,5.917456223315e10,2.093869125173e10,1.82075576102e11
1.393130120587625e12,3.6221383135278247e12,1.2816797109406152e12,1.1145040964701e13
1.4973848193125e10,3.8932005302125e10,1.3775940337675001e10,1.19790785545e11
9.662630810625e10,2.5122840107625e11,8.889620345775e10,7.7301046485e11
1.15152166928425e12,2.9939563401390503e12,1.05939993574151e12,9.212173354274e12
4.747897543375e9,1.2344533612775e10,4.368065739905e9,3.7983180347e10
2.9283137929750004e10,7.613615861735e10,2.694048689537e10,2.3426510343800003e11
3.030620915e10,7.879614379e10,2.7881712417999996e10,2.424496732e11
8.600034466724998e10,2.2360089613485e11,7.912031709387e10,6.880027573379999e11
1.463843400131875e12,3.805992840342875e12,1.3467359281213252e12,1.1710747201055e13
4.3093304656875e11,1.12042592107875e12,3.9645840284325006e11,3.44746437255e12
1.916722784865e11,4.983479240649e11,1.7633849620758e11,1.533378227892e12
1.88747933125e9,4.90744626125e9,1.7364809847500002e9,1.509983465e10
2.3215327059699997e11,6.035985035522e11,2.1358100894924e11,1.8572261647759998e12
1.6047807019875e11,4.1724298251675e11,1.4763982458284998e11,1.28382456159e12
2.5478754993e10,6.6244762981799995e10,2.344045459356e10,2.03830039944e11
1.2942821452000002e10,3.36513357752e10,1.190739573584e10,1.0354257161600002e11
1.62502400075e11,4.22506240195e11,1.49502208069e11,1.3000192006e12
1.3483359307862502e11,3.50567342004425e11,1.24046905632335e11,1.0786687446290001e12
1.23044805002e11,3.199164930052e11,1.1320122060184e11,9.84358440016e11
1.759587187475e11,4.5749266874350006e11,1.6188202124769998e11,1.40766974998e12
5.728123996e9,1.48931223896e10,5.26987407632e9,4.5824991968e10
2.055969530181875e13,5.345520778472875e13,1.891491967767325e13,1.6447756241455e14
4.1395291113557505e12,1.076277568952495e13,3.80836678244729e12,3.3116232890846004e13
1.3076027236575e12,3.3997670815094995e12,1.2029945057649001e12,1.046082178926e13
5.27056270065e11,1.370346302169e12,4.848917684598e11,4.21645016052e12
8.2751429543625e10,2.1515371681342502e11,7.6131315180135e10,6.62011436349e11
1.26247904778125e11,3.28244552423125e11,1.1614807239587502e11,1.009983238225e12
1.0819250592425e12,2.8130051540305e12,9.953710545031e11,8.65540047394e12
4.836698597775e10,1.2575416354215e11,4.449762709953001e10,3.86935887822e11
2.15500378446925e12,5.60300983962005e12,1.98260348171171e12,1.7240030275754e13
1.2771463171900002e11,3.3205804246939996e11,1.1749746118148e11,1.0217170537520001e12
2.983633082015e11,7.757446013238999e11,2.7449424354537997e11,2.386906465612e12
7.0688339727525e11,1.83789683291565e12,6.5033272549323e11,5.655067178202e12
1.615096092e9,4.1992498392e9,1.4858884046399999e9,1.2920768736e10
4.6763031675e10,1.21583882355e11,4.3021989141e10,3.741042534e11
9.2083485520875e10,2.39417062354275e11,8.4716806679205e10,7.36667884167e11
1.105945219595e11,2.875457570947e11,1.0174696020273999e11,8.84756175676e11
3.512968697875e10,9.133718614475e10,3.231931202045e10,2.8103749583e11
8.676035421900002e10,2.2557692096940002e11,7.981952588148001e10,6.940828337520001e11
3.3180118455625e10,8.6268307984625e10,3.0525708979175003e10,2.65440947645e11
6.618081265675001e10,1.7207011290755e11,6.088634764421e10,5.2944650125400006e11
5.111104375025e10,1.3288871375065e11,4.702216025023e10,4.08888350002e11
9.79564005e9,2.546866413e10,9.011988846e9,7.83651204e10
1.0225965851999998e10,2.65875112152e10,9.40788858384e9,8.180772681599998e10
3.45042403856e11,8.971102500256e11,3.1743901154752e11,2.760339230848e12
2.51324508815625e11,6.53443722920625e11,2.31218548110375e11,2.010596070525e12
5.0819317241099994e11,1.3213022482685999e12,4.6753771861812006e11,4.0655453792879995e12
6.648038825e9,1.7284900945e10,6.116195719e9,5.31843106e10
2.3810906810625e11,6.1908357707625e11,2.1906034265775e11,1.90487254485e12
7.545843003374999e9,1.9619191808775e10,6.942175563105e9,6.036674402699999e10
5.461940838375e10,1.4201046179775e11,5.024985571305001e10,4.3695526707e11
2.203351599625e10,5.728714159025e10,2.0270834716550003e10,1.7626812797e11
1.990971055665e12,5.176524744729e12,1.8316933712118003e12,1.592776844532e13
6.388640376799999e10,1.661046497968e11,5.877549146656e10,5.1109123014399994e11
4.814613263549999e10,1.2517994485229999e11,4.429444202466e10,3.8516906108399994e11
1.083376328625e10,2.816778454425e10,9.96706222335e9,8.667010629e10
5.593307190120001e11,1.4542598694312e12,5.1458426149104004e11,4.474645752096001e12
3.80878620632125e11,9.90284413643525e11,3.50408330981555e11,3.047028965057e12
8.586657305420001e11,2.2325308994092e12,7.8997247209864e11,6.869325844336001e12
3.6551149786e10,9.50329894436e10,3.3627057803119995e10,2.92409198288e11
4.3978311373149994e11,1.1434360957019e12,4.0460046463298e11,3.5182649098520005e12
3.02359244215e11,7.86134034959e11,2.781705046778e11,2.41887395372e12
4.3250067275e9,1.12450174915e10,3.979006189299999e9,3.460005382e10
7.6172622312625e10,1.9804881801282498e11,7.007881252761499e10,6.09380978501e11
9.331176336375e10,2.4261058474574997e11,8.584682229465e10,7.4649410691e11
2.6485059292200003e11,6.886115415972e11,2.4366254548824002e11,2.1188047433760002e12
2.77539216005975e12,7.21601961615535e12,2.55336078725497e12,2.2203137280478e13
3.68993911395e10,9.59384169627e10,3.3947439848339996e10,2.95195129116e11
9.0443941637625e10,2.3515424825782498e11,8.320842630661499e10,7.23551533101e11
5.505714506362499e10,1.4314857716542502e11,5.0652573458534996e10,4.4045716050899994e11
3.2061357806257505e12,8.33595302962695e12,2.9496449181756904e12,2.5649086245006004e13
5.925295304224999e10,1.5405767790985e11,5.451271679887e10,4.7402362433799994e11
1.0980933864975002e11,2.8550428048935004e11,1.0102459155777e11,8.784747091980001e11
4.8304550030399994e11,1.2559183007904e12,4.4440186027967993e11,3.8643640024319995e12
1.5559280064765e12,4.0454128168389004e12,1.43145376595838e12,1.2447424051812e13
6.82235092308e11,1.7738112400008e12,6.2765628492336e11,5.457880738464e12
1.84078613548125e11,4.78604395225125e11,1.69352324464275e11,1.472628908385e12
3.5260503776275e11,9.1677309818315e11,3.2439663474173e11,2.820840302102e12
2.49880001974275e12,6.496880051331149e12,2.29889601816333e12,1.9990400157942e13
1.69504656024375e11,4.4071210566337494e11,1.55944283542425e11,1.356037248195e12
8.7960753225e8,2.28697958385e9,8.092389296700001e8,7.036860258e9
2.83619941275e9,7.37411847315e9,2.60930345973e9,2.2689595302e10
1.7751282614999998e9,4.6153334799e9,1.63311800058e9,1.4201026091999998e10
3.141047932875e9,8.166724625475e9,2.889764098245e9,2.5128383463e10
2.9585684823749995e9,7.692278054175e9,2.721883003785e9,2.3668547859000004e10
5.1028039937925e11,1.32672903838605e12,4.6945796742891003e11,4.082243195034e12
2.2060067389262503e11,5.73561752120825e11,2.02952619981215e11,1.7648053911410002e12
1.244889153475e11,3.236711799035e11,1.1452980211970001e11,9.9591132278e11
1.0559186679875002e11,2.7453885367674997e11,9.714451745484999e10,8.447349343900001e11
9.7271591688375e10,2.5290613838977496e11,8.948986435330501e10,7.78172733507e11
3.6752314864e10,9.555601864640001e10,3.3812129674880005e10,2.94018518912e11
9.16244219275e9,2.3822349701149998e10,8.42944681733e9,7.3299537542e10
8.87280770893125e11,2.306930004322125e12,8.16298309221675e11,7.098246167145e12
8.118597984825e11,2.1108354760545e12,7.469110146039e11,6.49487838786e12
3.51829329150375e11,9.147562557909751e11,3.23682982818345e11,2.8146346332029995e12
5.850903596911251e11,1.521234935196925e12,5.3828313091583496e11,4.680722877529001e12
9.4023232405e9,2.44460404253e10,8.65013738126e9,7.5218585924e10
1.71051575354125e11,4.44734095920725e11,1.5736744932579498e11,1.368412602833e12
1.43350631120625e11,3.72711640913625e11,1.3188258063097499e11,1.146805048965e12
4.060838592525e11,1.0558180340565e12,3.735971505122999e11,3.24867087402e12
1.2833580313650002e11,3.336730881549e11,1.1806893888558e11,1.0266864250919999e12
7.4271226015e11,1.93105187639e12,6.83295279338e11,5.9416980812e12
1.1607910524528748e12,3.018056736377475e12,1.0679277682566451e12,9.286328419622998e12
1.0582863050925e11,2.7515443932405e11,9.736234006851e10,8.466290440740001e11
2.2904485109999996e10,5.9551661286e10,2.1072126301199997e10,1.8323588087999997e11
1.8184614046000003e11,4.7279996519599994e11,1.6729844922319998e11,1.4547691236800002e12
1.30209488159625e12,3.38544669215025e12,1.19792729106855e12,1.041675905277e13
8.376064019e10,2.17777664494e11,7.70597889748e10,6.7008512152e11
5.182997883e11,1.34757944958e12,4.7683580523600006e11,4.1463983064e12
7.91895131011e11,2.0589273406286e12,7.2854352053012e11,6.335161048088e12
1.6804310575074997e11,4.3691207495195e11,1.5459965729069e11,1.3443448460059998e12
1.1143875726509998e12,2.8974076888926e12,1.02523656683892e12,8.915100581207998e12
5.62271316628125e12,1.461905423233125e13,5.17289611297875e12,4.498170533025e13
5.643031238487501e10,1.46718812200675e11,5.1915887394085e10,4.5144249907900006e11
4.8208598042912506e11,1.253423549115725e12,4.4351910199479504e11,3.8566878434330005e12
4.0347273375e9,1.04902910775e10,3.7119491504999995e9,3.22778187e10
4.9415029848299994e11,1.2847907760558e12,4.5461827460436e11,3.9532023878639995e12
1.53222796388075e12,3.9837927060899497e12,1.4096497267702898e12,1.2257823711046e13
3.9055241980399994e11,1.0154362914904e12,3.5930822621968e11,3.1244193584319995e12
2.2954006587199997e11,5.968041712672e11,2.1117686060223996e11,1.8363205269759998e12
2.0691680375375e11,5.3798368975975006e11,1.9036345945344998e11,1.65533443003e12
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
